,ID,Ref,MESH
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Brain Diseases
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Spinal Cord Diseases
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Nervous System Diseases
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Breast Neoplasms
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Neoplasm Invasiveness
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Neoplasms
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Breast Neoplasms
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Carcinogenesis
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Neoplasms
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Neurodegenerative Diseases
32,NR_001570,[23415223],Myelodysplastic Syndromes
32,NR_001570,[23415223],Myeloproliferative Disorders
32,NR_001570,[23415223],Primary Myelofibrosis
32,NR_001570,[23415223],Splenomegaly
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Chromosome Deletion
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Brain Diseases
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Spinal Cord Diseases
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Neoplasms
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Genetic Predisposition to Disease
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]","Translocation, Genetic"
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Genetic Predisposition to Disease
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]","Translocation, Genetic"
33,NR_002227,"[15478311, 23791884, 19606485, 22817756, 23791884, 17912248, 22817756, 17912248, 23791884, 22817756, 20380817, 22817756, 12573262, 23791884, 10814723, 17912248, 10814723, 15478311, 22817756]",Disease
34,NR_002321,"[27760051, 27508018]",Diabetic Nephropathies
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Disease Progression
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]","Lymphoma, B-Cell"
