experiment,source_version,target_version,feature_key,feature_set,domains,model,label_space,label_match,min_positives,keep_rule,n_source_samples,n_target_samples,n_labels,performance_csv,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
v1_to_v2_transfer,v1,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rf,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_rf_v1_to_v2_transfer_performance.csv,0.1188932585071029(0.01795172100129846),0.1188932585071029,0.0179517210012984,0.24132738859795339(0.03447555714170657),0.2413273885979533,0.0344755571417065,0.719431587953494(0.010536967369670228),0.719431587953494,0.0105369673696702,0.041081682851379434(0.004330972435786701),0.0410816828513794,0.0043309724357867,0.05692740100479304(0.007942416401088401),0.056927401004793,0.0079424164010884,0.45196397822244083(0.06815991591605075),0.4519639782224408,0.0681599159160507,0.1007763100957508(0.012790360942168323),0.1007763100957508,0.0127903609421683,0.04841531859384195(0.03482283171720914),0.0484153185938419,0.0348228317172091
v1_to_v2_transfer,v1,v2,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rflda,both,normalized,1,gt,353,4114,40,/data/r0865750/lncrna-disease-prediction/results/transfer/rc_kmer_matrix_k4_rflda_v1_to_v2_transfer_performance.csv,0.09699340805764953(0.02058976675679791),0.0969934080576495,0.0205897667567979,0.23519584668230892(0.03179875356484321),0.2351958466823089,0.0317987535648432,0.7098700730903127(0.017894083448847468),0.7098700730903127,0.0178940834488474,0.03922733131603921(0.004415385044249759),0.0392273313160392,0.0044153850442497,0.06894990595557285(0.012455787421910594),0.0689499059555728,0.0124557874219105,0.43607200448332845(0.08799175862266499),0.4360720044833284,0.0879917586226649,0.11778451380097987(0.016910779588813225),0.1177845138009798,0.0169107795888132,0.06196124086065531(0.027348760568236697),0.0619612408606553,0.0273487605682366
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.04916865079365079(0.010293319016877888),0.0491686507936507,0.0102933190168778,0.19823603644628515(0.04520770345387495),0.1982360364462851,0.0452077034538749,0.6850517292321657(0.06822655279204606),0.6850517292321657,0.068226552792046,0.0490651171908013(0.02184395229853788),0.0490651171908013,0.0218439522985378,0.16095648157397408(0.03046406667549838),0.160956481573974,0.0304640666754983,0.46614828861008817(0.14762948326164294),0.4661482886100881,0.1476294832616429,0.23516338393434402(0.04819335913188899),0.235163383934344,0.0481933591318889,0.28626984126984134(0.06079390981750945),0.2862698412698413,0.0607939098175094
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.04588888888888888(0.021053628927225135),0.0458888888888888,0.0210536289272251,0.2104465406982269(0.04731147428107611),0.2104465406982269,0.0473114742810761,0.6621824548410538(0.10126179143659114),0.6621824548410538,0.1012617914365911,0.04650574822023975(0.02417332130746953),0.0465057482202397,0.0241733213074695,0.16724936025206577(0.06023232687632498),0.1672493602520657,0.0602323268763249,0.38557221907816136(0.18824633919887962),0.3855722190781613,0.1882463391988796,0.21866805071958834(0.06389790323878063),0.2186680507195883,0.0638979032387806,0.27706349206349207(0.11137183130063112),0.277063492063492,0.1113718313006311
v1_common_cv,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.05025992063492064(0.016796950276173558),0.0502599206349206,0.0167969502761735,0.1991430662636941(0.037391123705478375),0.1991430662636941,0.0373911237054783,0.6857789321559413(0.0816704434070199),0.6857789321559413,0.0816704434070199,0.047443676788621936(0.021506569842663473),0.0474436767886219,0.0215065698426634,0.1545007556018948(0.031897237322207346),0.1545007556018948,0.0318972373222073,0.4371839626763226(0.16193546771294018),0.4371839626763226,0.1619354677129401,0.22544270553285267(0.05255630564917108),0.2254427055328526,0.052556305649171,0.2319047619047619(0.08539830057143286),0.2319047619047619,0.0853983005714328
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.053698412698412704(0.021174374493065612),0.0536984126984127,0.0211743744930656,0.19094364451544743(0.04906149642940231),0.1909436445154474,0.0490614964294023,0.6866804321126792(0.058057657016358524),0.6866804321126792,0.0580576570163585,0.04011005027701865(0.016943171751608078),0.0401100502770186,0.016943171751608,0.16251315812692874(0.046018143497074206),0.1625131581269287,0.0460181434970742,0.47307532434866895(0.19318718677159025),0.4730753243486689,0.1931871867715902,0.23135767476242736(0.05137937263597629),0.2313576747624273,0.0513793726359762,0.26087301587301587(0.12432536516042338),0.2608730158730158,0.1243253651604233
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v1_common_cv_performance.csv,0.05336706349206349(0.025063548373555768),0.0533670634920634,0.0250635483735557,0.1891180462915522(0.048270834847024366),0.1891180462915522,0.0482708348470243,0.6762075617758061(0.10004503947960129),0.6762075617758061,0.1000450394796012,0.045594573607204085(0.020902041020045007),0.045594573607204,0.020902041020045,0.15768561138094142(0.05005823114872938),0.1576856113809414,0.0500582311487293,0.45054848754339416(0.20426193330939557),0.4505484875433941,0.2042619333093955,0.2188986558952582(0.059477012009507585),0.2188986558952582,0.0594770120095075,0.289047619047619(0.0977407938713213),0.289047619047619,0.0977407938713213
v1_common_cv,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v1_common_cv_performance.csv,0.05025992063492064(0.016796950276173558),0.0502599206349206,0.0167969502761735,0.1991430662636941(0.037391123705478375),0.1991430662636941,0.0373911237054783,0.6857789321559413(0.0816704434070199),0.6857789321559413,0.0816704434070199,0.047443676788621936(0.021506569842663473),0.0474436767886219,0.0215065698426634,0.1545007556018948(0.031897237322207346),0.1545007556018948,0.0318972373222073,0.4371839626763226(0.16193546771294018),0.4371839626763226,0.1619354677129401,0.22544270553285267(0.05255630564917108),0.2254427055328526,0.052556305649171,0.2319047619047619(0.08539830057143286),0.2319047619047619,0.0853983005714328
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.035087301587301584(0.009954656742154368),0.0350873015873015,0.0099546567421543,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.0422320948645546,0.56543410817863(0.06264371740518856),0.56543410817863,0.0626437174051885,0.042258793969740895(0.028370242389753365),0.0422587939697408,0.0283702423897533,0.1294561899538032(0.061310049350373846),0.1294561899538032,0.0613100493503738,0.201014849766972(0.12562156808074398),0.201014849766972,0.1256215680807439,0.15030237463842955(0.07800902869059115),0.1503023746384295,0.0780090286905911,0.39063492063492067(0.09667617958248376),0.3906349206349206,0.0966761795824837
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rf_v1_common_cv_performance.csv,0.035087301587301584(0.009954656742154368),0.0350873015873015,0.0099546567421543,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.0422320948645546,0.565431818748927(0.06264701024594567),0.565431818748927,0.0626470102459456,0.042258480845449344(0.028370478511358217),0.0422584808454493,0.0283704785113582,0.1294561899538032(0.061310049350373846),0.1294561899538032,0.0613100493503738,0.201014849766972(0.12562156808074398),0.201014849766972,0.1256215680807439,0.15030237463842955(0.07800902869059115),0.1503023746384295,0.0780090286905911,0.39063492063492067(0.09667617958248376),0.3906349206349206,0.0966761795824837
